Recomendação,Link,Descrição,Prioridade
SEC01-BP01 Separar as workloads usando contas,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_securely_operate_multi_accounts.html,"Estabeleça barreiras de proteção e isolamento entre workloads e ambientes (como de produção, desenvolvimento e teste) por meio de uma estratégia de várias contas. A separação em nível de conta é altamente recomendável, pois ela oferece um limite de isolamento robusto para segurança, faturamento e acesso.",Alta
SEC01-BP02 Proteger as propriedades e o usuário raiz das contas,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_securely_operate_aws_account.html,"O usuário raiz é o mais privilegiado de uma Conta da AWS, com acesso administrativo integral a todos os recursos da conta, e em alguns casos não pode ser restringido por políticas de segurança. Desabilitar o acesso programático ao usuário raiz, estabelecer controles apropriados para ele e evitar o uso rotineiro desse usuário ajuda a reduzir o risco de exposição acidental das credenciais raiz e o subsequente comprometimento do ambiente de nuvem.",Alta
SEC01-BP03 Identificar e validar objetivos de controle,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_securely_operate_control_objectives.html,"Com base em seus requisitos de conformidade e riscos identificados no modelo de ameaça, derive e valide os objetivos de controle e os controles que você precisa aplicar à carga de trabalho. A validação contínua de objetivos de controle e controles ajuda a medir a eficácia da mitigação de riscos.",Alta
SEC01-BP04 Manter-se atualizado sobre as ameaças à segurança,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_securely_operate_updated_threats.html,"Para ajudar a definir e implementar os controles apropriados, reconheça vetores de ataque mantendo-se a par das ameaças de segurança mais recentes. Consuma o AWS Managed Services para facilitar o recebimento de notificações de comportamentos inesperados ou incomuns em suas contas da AWS. Investigue usando ferramentas de parceiros da AWS ou feeds de informações sobre ameaças de terceiros como parte de seu fluxo de informações de segurança. A lista de vulnerabilidades e exposições comuns (CVEs)  contém vulnerabilidades de segurança cibernética divulgadas publicamente que você pode usar para se manter atualizado.",Alta
SEC01-BP05 Manter-se atualizado com as recomendações de segurança,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_securely_operate_updated_recommendations.html,Stay up-to-date with both AWS and industry security recommendations to evolve the security posture of your workload. AWS Security Bulletins contain important information about security and privacy notifications.,Alta
SEC01-BP06 Automatizar testes e validação de controles de segurança em pipelines,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_securely_operate_test_validate_pipeline.html,"Estabeleça linhas de base e modelos seguros para mecanismos de segurança que são testados e validados como parte de sua compilação, pipelines e processos. Use ferramentas e automação para testar e validar todos os controles de segurança continuamente. Por exemplo, verifique itens, como imagens de máquina e modelos de infraestrutura como código, para detectar vulnerabilidades de segurança, irregularidades e desvios da uma linha de base estabelecida em cada estágio. O AWS CloudFormation Guard pode ajudar você a verificar se os modelos do CloudFormation são seguros, economizar tempo e reduzir o risco de erro de configuração.",Média
SEC01-BP07 Identificar ameaças e priorizar mitigações com o uso de um modelo de ameaça,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_securely_operate_threat_model.html,"Realize a modelagem de ameaças para identificar e manter um registro atualizado de possíveis ameaças e mitigações associadas para sua workload. Priorize suas ameaças e adapte as mitigações de controles de segurança para prevenir, detectar e responder. Revise e mantenha isso no contexto de sua workload e no cenário de segurança em evolução.",Alta
SEC01-BP08 Avaliar e implementar regularmente novos serviços e recursos de segurança,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_securely_operate_implement_services_features.html,"Avalie e implemente serviços e recursos de segurança da AWS e parceiros da AWS que permitem que você desenvolva a postura de segurança da sua workload. O blog de segurança da AWS destaca novos serviços e recursos, guias de implementação e orientações gerais de segurança da AWS. Quais as novidades da AWS? é uma ótima forma de se manter atualizado com todos os novos recursos, serviços e anúncios da AWS.",Baixa
SEC02-BP01 Usar mecanismos de login fortes,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_identities_enforce_mechanisms.html,"Os logins (autenticação com credenciais de login) podem apresentar riscos quando não são usados mecanismos, como autenticação multifator (MFA), especialmente em situações em que as credenciais de login foram divulgadas acidentalmente ou podem ser deduzidas com facilidade. Utilize mecanismos de login fortes para reduzir essas riscos exigindo MFA e políticas de senhas fortes.",Alta
SEC02-BP02 Usar credenciais temporárias,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_identities_unique.html,"Ao realizar qualquer tipo de autenticação, é melhor utilizar credenciais temporárias em vez de credenciais de longo prazo a fim de reduzir ou eliminar riscos, como credenciais que são divulgadas acidentalmente, compartilhadas ou roubadas.",Alta
SEC02-BP03 Armazenar e usar segredos com segurança,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_identities_secrets.html,"Uma workload exige um recurso automatizado para comprovar a identidade dela em bancos de dados, recursos e serviços de terceiros. Isso é realizado com o uso de credenciais de acesso secretas, como chaves de acesso de API, senhas e tokens do OAuth. Utilizar um serviço com propósito específico para armazenar, gerenciar e alternar essas credenciais ajuda a reduzir a probabilidade de comprometimento dessas credenciais.",Alta
SEC02-BP04 Contar com um provedor de identidades centralizado,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_identities_identity_provider.html,"Para identidades da força de trabalho (funcionários e prestadores de serviços), confie em um provedor de identidade que permita gerenciar identidades em um local centralizado. Isso facilita o gerenciamento do acesso em várias aplicações e sistemas, pois você está criando, atribuindo, gerenciando, revogando e auditando o acesso de um único local.",Alta
SEC02-BP05 Fazer a auditoria e a alternância periódica das credenciais,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_identities_audit.html,"Audite e alterne as credenciais periodicamente para limitar o período durante o qual as credenciais podem ser usadas para acessar seus recursos. Credenciais de longo prazo criam muitos riscos, e estes podem ser reduzidos alternando credenciais de longo prazo regularmente.",Alta
